Sample,Amplitude(V)
2.950000000000000000e+02,-2.050631276437722417e-01
2.960000000000000000e+02,-2.119474313022694789e-01
2.970000000000000000e+02,-2.173496076721879722e-01
2.980000000000000000e+02,-2.225128354160609556e-01
2.990000000000000000e+02,-2.276760631599339391e-01
3.000000000000000000e+02,-2.328392909038069225e-01
3.010000000000000000e+02,-2.380025186476799615e-01
3.020000000000000000e+02,-2.431657463915530004e-01
3.030000000000000000e+02,-2.483289741354254565e-01
3.040000000000000000e+02,-2.531789854370498083e-01
3.050000000000000000e+02,-2.574816752236106510e-01
3.060000000000000000e+02,-2.617843650101714936e-01
3.070000000000000000e+02,-2.660870547967322808e-01
3.080000000000000000e+02,-2.703897445832931234e-01
3.090000000000000000e+02,-2.746924343698539661e-01
3.100000000000000000e+02,-2.789951241564148088e-01
3.110000000000000000e+02,-2.832978139429750963e-01
3.120000000000000000e+02,-2.868545965320158375e-01
3.130000000000000000e+02,-2.902967483612644561e-01
3.140000000000000000e+02,-2.937389001905130748e-01
3.150000000000000000e+02,-2.984016274338851527e-01
3.160000000000000000e+02,-3.121702347508797382e-01
3.170000000000000000e+02,-3.234201943879362884e-01
3.180000000000000000e+02,-3.268623462171849625e-01
3.190000000000000000e+02,-3.303044980464332481e-01
3.200000000000000000e+02,-3.337466498756819222e-01
3.210000000000000000e+02,-3.388937324421192332e-01
3.220000000000000000e+02,-3.457780361006165815e-01
3.230000000000000000e+02,-3.505247182666537120e-01
3.240000000000000000e+02,-3.539668700959023306e-01
3.250000000000000000e+02,-3.591225634236387410e-01
3.260000000000000000e+02,-3.648594831390531978e-01
3.270000000000000000e+02,-3.705964028544675992e-01
3.280000000000000000e+02,-3.763333225698813345e-01
3.290000000000000000e+02,-3.820702422852957358e-01
3.300000000000000000e+02,-3.875230068778455217e-01
3.310000000000000000e+02,-3.909651587070940848e-01
3.320000000000000000e+02,-3.944073105363427034e-01
3.330000000000000000e+02,-3.978494623655913220e-01
3.340000000000000000e+02,-4.012916141948399962e-01
3.350000000000000000e+02,-4.047337660240886703e-01
3.360000000000000000e+02,-4.081759178533369004e-01
3.370000000000000000e+02,-4.116180696825855745e-01
3.380000000000000000e+02,-4.161387193645256222e-01
3.390000000000000000e+02,-4.213019471083986889e-01
3.400000000000000000e+02,-4.264651748522717556e-01
3.410000000000000000e+02,-4.316284025961447668e-01
3.420000000000000000e+02,-4.352804417320548236e-01
3.430000000000000000e+02,-4.387225935613034422e-01
3.440000000000000000e+02,-4.421647453905515612e-01
3.450000000000000000e+02,-4.456068972198001243e-01
3.460000000000000000e+02,-4.490490490490488540e-01
3.470000000000000000e+02,-4.524912008782975281e-01
3.480000000000000000e+02,-4.559333527075461467e-01
3.490000000000000000e+02,-4.580645161290322065e-01
3.500000000000000000e+02,-4.580645161290322065e-01
3.510000000000000000e+02,-4.653879686137751825e-01
3.520000000000000000e+02,-4.671090445283992976e-01
3.530000000000000000e+02,-4.688301204430235791e-01
3.540000000000000000e+02,-4.705511963576479162e-01
3.550000000000000000e+02,-4.722722722722722533e-01
3.560000000000000000e+02,-4.739933481868966458e-01
3.570000000000000000e+02,-4.757144241015209829e-01
3.580000000000000000e+02,-4.774193548387097863e-01
3.590000000000000000e+02,-4.774193548387097863e-01
3.600000000000000000e+02,-4.774193548387097863e-01
3.610000000000000000e+02,-4.774193548387097863e-01
3.620000000000000000e+02,-4.774193548387097863e-01
3.630000000000000000e+02,-4.774193548387097863e-01
3.640000000000000000e+02,-4.774193548387097863e-01
3.650000000000000000e+02,-4.774193548387097863e-01
3.660000000000000000e+02,-4.774193548387097863e-01
3.670000000000000000e+02,-4.774193548387097863e-01
3.680000000000000000e+02,-4.774193548387097863e-01
3.690000000000000000e+02,-4.774193548387097863e-01
3.700000000000000000e+02,-4.774193548387097863e-01
3.710000000000000000e+02,-4.774193548387097863e-01
3.720000000000000000e+02,-4.774193548387097863e-01
3.730000000000000000e+02,-4.773935225548129879e-01
3.740000000000000000e+02,-4.756724466401885953e-01
3.750000000000000000e+02,-4.739513707255642028e-01
3.760000000000000000e+02,-4.722302948109400877e-01
3.770000000000000000e+02,-4.705092188963156952e-01
3.780000000000000000e+02,-4.687881429816914136e-01
3.790000000000000000e+02,-4.670670670670671321e-01
3.800000000000000000e+02,-4.653459911524428505e-01
3.810000000000000000e+02,-4.627337014433789975e-01
3.820000000000000000e+02,-4.592915496141302678e-01
3.830000000000000000e+02,-4.558493977848815937e-01
3.840000000000000000e+02,-4.524072459556329195e-01
3.850000000000000000e+02,-4.489650941263846340e-01
3.860000000000000000e+02,-4.455229422971359043e-01
3.870000000000000000e+02,-4.428509154315605767e-01
3.880000000000000000e+02,-4.402693015596240711e-01
3.890000000000000000e+02,-4.376876876876876210e-01
3.900000000000000000e+02,-4.351060738157511154e-01
3.910000000000000000e+02,-4.325244599438146098e-01
3.920000000000000000e+02,-4.299428460718781597e-01
3.930000000000000000e+02,-4.273612321999419317e-01
3.940000000000000000e+02,-4.244373405663728893e-01
3.950000000000000000e+02,-4.209951887371242707e-01
3.960000000000000000e+02,-4.175530369078756521e-01
3.970000000000000000e+02,-4.141108850786270335e-01
3.980000000000000000e+02,-4.106687332493784148e-01
3.990000000000000000e+02,-4.072265814201297962e-01
4.000000000000000000e+02,-4.044512254189673306e-01
4.010000000000000000e+02,-4.018696115470311025e-01
4.020000000000000000e+02,-3.992879976750946525e-01
4.030000000000000000e+02,-3.967063838031581469e-01
4.040000000000000000e+02,-3.941247699312216413e-01
4.050000000000000000e+02,-3.915431560592851357e-01
4.060000000000000000e+02,-3.889615421873486301e-01
4.070000000000000000e+02,-3.863799283154121245e-01
4.080000000000000000e+02,-3.837983144434756744e-01
4.090000000000000000e+02,-3.812167005715394463e-01
4.100000000000000000e+02,-3.786350866996029407e-01
4.110000000000000000e+02,-3.760534728276664906e-01
4.120000000000000000e+02,-3.734718589557299850e-01
4.130000000000000000e+02,-3.708902450837934794e-01
4.140000000000000000e+02,-3.683086312118569738e-01
4.150000000000000000e+02,-3.650553779586037106e-01
4.160000000000000000e+02,-3.616132261293550365e-01
4.170000000000000000e+02,-3.581710743001068065e-01
4.180000000000000000e+02,-3.547289224708581323e-01
4.190000000000000000e+02,-3.512867706416094582e-01
4.200000000000000000e+02,-3.479048941414533691e-01
4.210000000000000000e+02,-3.448452036265656773e-01
4.220000000000000000e+02,-3.417855131116779854e-01
4.230000000000000000e+02,-3.387258225967902936e-01
4.240000000000000000e+02,-3.356661320819026018e-01
4.250000000000000000e+02,-3.326064415670152985e-01
4.260000000000000000e+02,-3.295467510521276067e-01
4.270000000000000000e+02,-3.264870605372399148e-01
4.280000000000000000e+02,-3.234273700223522230e-01
4.290000000000000000e+02,-3.203676795074645312e-01
4.300000000000000000e+02,-3.173079889925768393e-01
4.310000000000000000e+02,-3.142482984776891475e-01
4.320000000000000000e+02,-3.111886079628014556e-01
4.330000000000000000e+02,-3.081289174479141524e-01
4.340000000000000000e+02,-3.050692269330264605e-01
4.350000000000000000e+02,-3.020095364181387687e-01
4.360000000000000000e+02,-2.989498459032510769e-01
4.370000000000000000e+02,-2.962769220833738060e-01
4.380000000000000000e+02,-2.945558461687494689e-01
4.390000000000000000e+02,-2.928347702541251318e-01
4.400000000000000000e+02,-2.911136943395008503e-01
4.410000000000000000e+02,-2.893926184248767353e-01
4.420000000000000000e+02,-2.876715425102523982e-01
4.430000000000000000e+02,-2.859504665956280611e-01
4.440000000000000000e+02,-2.842293906810037241e-01
4.450000000000000000e+02,-2.815998794493420054e-01
4.460000000000000000e+02,-2.787314195916347770e-01
4.470000000000000000e+02,-2.758629597339275485e-01
4.480000000000000000e+02,-2.729944998762203201e-01
4.490000000000000000e+02,-2.701260400185131472e-01
4.500000000000000000e+02,-2.672575801608062518e-01
4.510000000000000000e+02,-2.643891203030990233e-01
4.520000000000000000e+02,-2.615206604453917949e-01
4.530000000000000000e+02,-2.586522005876845665e-01
4.540000000000000000e+02,-2.557837407299773380e-01
4.550000000000000000e+02,-2.529152808722701651e-01
4.560000000000000000e+02,-2.497336045723141940e-01
4.570000000000000000e+02,-2.462914527430655476e-01
4.580000000000000000e+02,-2.428493009138172898e-01
4.590000000000000000e+02,-2.394071490845686156e-01
4.600000000000000000e+02,-2.359649972553199415e-01
4.610000000000000000e+02,-2.325228454260712951e-01
4.620000000000000000e+02,-2.290806935968226210e-01
4.630000000000000000e+02,-2.256385417675739469e-01
4.640000000000000000e+02,-2.221963899383253005e-01
4.650000000000000000e+02,-2.183538377086761684e-01
4.660000000000000000e+02,-2.126169179932624054e-01
4.670000000000000000e+02,-2.068799982778479762e-01
4.680000000000000000e+02,-2.011430785624335194e-01
4.690000000000000000e+02,-1.954061588470190902e-01
4.700000000000000000e+02,-1.896692391316046611e-01
4.710000000000000000e+02,-1.858309922826050786e-01
4.720000000000000000e+02,-1.835362243964393236e-01
4.730000000000000000e+02,-1.812414565102735686e-01
4.740000000000000000e+02,-1.789466886241080634e-01
4.750000000000000000e+02,-1.766519207379423084e-01
4.760000000000000000e+02,-1.743571528517765534e-01
4.770000000000000000e+02,-1.678000581226390397e-01
4.780000000000000000e+02,-1.609157544641417747e-01
4.790000000000000000e+02,-1.540314508056444820e-01
4.800000000000000000e+02,-1.479737802318447926e-01
4.810000000000000000e+02,-1.456790123456790098e-01
4.820000000000000000e+02,-1.433842444595135046e-01
4.830000000000000000e+02,-1.410894765733477219e-01
4.840000000000000000e+02,-1.387947086871819391e-01
4.850000000000000000e+02,-1.364999408010161563e-01
4.860000000000000000e+02,-1.297297297297298480e-01
4.870000000000000000e+02,-1.194032742419838811e-01
4.880000000000000000e+02,-1.102521876715423510e-01
4.890000000000000000e+02,-1.016468080984206934e-01
4.900000000000000000e+02,-9.304142852530004892e-02
4.910000000000000000e+02,-8.443604895217839135e-02
4.920000000000000000e+02,-8.065484839678407902e-02
4.930000000000000000e+02,-7.721269656753546040e-02
4.940000000000000000e+02,-7.377054473828684178e-02
4.950000000000000000e+02,-6.904969485614674551e-02
4.960000000000000000e+02,-5.872323936840066760e-02
4.970000000000000000e+02,-3.495753818334457197e-02
4.980000000000000000e+02,-2.291000678097564539e-02
4.990000000000000000e+02,-1.086247537860531714e-02
5.000000000000000000e+02,1.185056023765007627e-03
5.010000000000000000e+02,9.357744841615577014e-03
5.020000000000000000e+02,1.452097258548861597e-02
5.030000000000000000e+02,1.968420032936165492e-02
5.040000000000000000e+02,2.484742807323469735e-02
5.050000000000000000e+02,4.262326842972087582e-02
5.060000000000000000e+02,6.327617940521039486e-02
5.070000000000000000e+02,8.069359682262830513e-02
5.080000000000000000e+02,6.800904129936388154e-01
5.090000000000000000e+02,6.814672737253383294e-01
5.100000000000000000e+02,6.828441344570377325e-01
5.110000000000000000e+02,6.842209951887372466e-01
5.120000000000000000e+02,6.855978559204367606e-01
5.130000000000000000e+02,6.869747166521361637e-01
5.140000000000000000e+02,6.883515773838356777e-01
5.150000000000000000e+02,6.897284381155349697e-01
5.160000000000000000e+02,6.907139397461978803e-01
5.170000000000000000e+02,6.914023701120476373e-01
5.180000000000000000e+02,6.920908004778972833e-01
5.190000000000000000e+02,6.927792308437470403e-01
5.200000000000000000e+02,6.934676612095967974e-01
5.210000000000000000e+02,6.941560915754464434e-01
5.220000000000000000e+02,6.948445219412962004e-01
5.230000000000000000e+02,6.955329523071458464e-01
5.240000000000000000e+02,6.962213826729954924e-01
5.250000000000000000e+02,6.967741935483870996e-01
5.260000000000000000e+02,6.967741935483870996e-01
5.270000000000000000e+02,6.967741935483870996e-01
5.280000000000000000e+02,6.967741935483870996e-01
5.290000000000000000e+02,6.969285414446704241e-01
5.300000000000000000e+02,6.972727566275953581e-01
5.310000000000000000e+02,6.976169718105201811e-01
5.320000000000000000e+02,6.979611869934451152e-01
5.330000000000000000e+02,6.983054021763699382e-01
5.340000000000000000e+02,6.986496173592947612e-01
5.350000000000000000e+02,6.989938325422195842e-01
5.360000000000000000e+02,6.993380477251445182e-01
5.370000000000000000e+02,6.996822629080693412e-01
5.380000000000000000e+02,7.000264780909941642e-01
5.390000000000000000e+02,7.003706932739190982e-01
5.400000000000000000e+02,7.007149084568439212e-01
5.410000000000000000e+02,7.010591236397687442e-01
5.420000000000000000e+02,7.014033388226935672e-01
5.430000000000000000e+02,7.017475540056185013e-01
5.440000000000000000e+02,7.020917691885433243e-01
5.450000000000000000e+02,7.024359843714681473e-01
5.460000000000000000e+02,7.027801995543930813e-01
5.470000000000000000e+02,7.031244147373179043e-01
5.480000000000000000e+02,7.032258064516128115e-01
5.490000000000000000e+02,7.032258064516128115e-01
5.500000000000000000e+02,7.032258064516128115e-01
5.510000000000000000e+02,7.032258064516128115e-01
5.520000000000000000e+02,7.032258064516128115e-01
5.530000000000000000e+02,7.032258064516128115e-01
5.540000000000000000e+02,7.032258064516128115e-01
5.550000000000000000e+02,7.032258064516128115e-01
5.560000000000000000e+02,7.032258064516128115e-01
5.570000000000000000e+02,7.032258064516128115e-01
5.580000000000000000e+02,7.032258064516128115e-01
5.590000000000000000e+02,7.032258064516128115e-01
5.600000000000000000e+02,7.032258064516128115e-01
5.610000000000000000e+02,7.028228228228227126e-01
5.620000000000000000e+02,7.021343924569730666e-01
5.630000000000000000e+02,7.014459620911233095e-01
5.640000000000000000e+02,7.007575317252735525e-01
5.650000000000000000e+02,7.000691013594239065e-01
5.660000000000000000e+02,6.993806709935742605e-01
5.670000000000000000e+02,6.986922406277245035e-01
5.680000000000000000e+02,6.980038102618747464e-01
5.690000000000000000e+02,6.973153798960249894e-01
